32,35,48,47
32,35,47,48
32,35,47,46
32,34,47,50
32,34,46,49
32,33,48,57
32,34,49,55
32,33,51,58
32,35,51,52
32,34,50,52
32,33,49,58
32,30,47,69
32,34,47,52
32,33,48,55
32,29,48,74
32,15,51,147
32,-17,51,298
32,-25,51,417
32,-25,51,480
32,-25,49,437
32,-18,48,299
32,-5,54,242
32,21,59,126
28,35,89,62
9,35,177,51
-10,35,275,50
-5,35,250,48
0,35,216,48
15,35,149,52
32,34,94,99
32,17,57,144
32,3,54,207
32,-14,57,288
32,-21,52,318
32,-21,51,316
32,-12,54,276
32,-1,58,231
32,12,72,183
32,32,105,119
16,35,161,75
7,35,196,63
11,35,216,103
32,35,207,201
32,16,183,271
32,6,165,301
32,1,154,314
32,-10,130,343
32,-13,95,323
32,-12,94,319
32,5,134,277
32,15,144,237
23,35,228,175
22,35,242,185
15,35,287,190
0,35,296,125
14,35,268,168
25,35,260,215
32,3,149,300
32,-7,122,321
32,-19,95,351
32,-21,92,358
32,5,131,275
32,29,191,218
24,35,240,190
9,35,303,177
5,35,342,197
25,35,288,246
32,33,269,278
32,21,203,267
32,15,188,282
32,-8,160,366
32,-19,88,345
32,-1,119,291
32,3,146,298
32,17,169,256
19,35,212,139
8,35,233,102
-1,35,256,76
0,35,291,120
5,35,258,116
32,35,216,213
32,9,163,286
32,-11,130,347
32,-25,82,396
32,-25,70,394
32,-25,70,356
32,13,131,233
32,32,159,172
22,35,217,157
17,35,226,144
28,35,196,165
32,26,185,225
32,35,266,262
32,0,158,322
32,-17,103,351
32,-25,55,382
32,-25,53,390
32,-18,81,332
32,1,85,245
32,20,110,181
30,35,120,100
24,35,139,89
22,35,138,82
8,35,199,70
32,33,110,119
32,3,58,212
